industry_number,major_category,middle_category,small_category,industry_name,stock_price_a_average,dividend_b,profit_c,net_asset_d
31,製造業,食料品,食料品製造業,食料品製造業,523,12.5,42.3,312.5
32,製造業,飲料・たばこ・飼料,飲料・たばこ・飼料製造業,飲料・たばこ・飼料製造業,498,10.2,38.6,298.4
47,小売業,各種商品小売業,百貨店・総合スーパー,百貨店・総合スーパー,412,8.5,28.4,245.2
49,小売業,織物・衣服・身の回り品小売業,呉服・服地・寝具小売業,呉服・服地・寝具小売業,385,7.2,24.1,218.6
52,卸売業,織物・衣服・身の回り品卸売業,織物・衣服・身の回り品卸売業,織物・衣服・身の回り品卸売業,445,9.8,32.5,268.3
62,サービス業,宿泊業・飲食サービス業,飲食店,飲食店,356,6.4,18.9,198.7
72,サービス業,医療・福祉,病院・診療所,病院・診療所,468,11.3,35.8,285.4
81,サービス業,学術研究・専門・技術サービス業,法律・会計・設計等,法律・会計・設計等,512,13.6,48.2,325.8
89,サービス業,その他のサービス業,その他のサービス業,その他のサービス業,378,7.8,22.5,210.3
13,建設業,総合工事業,建築工事業,建築工事業,402,8.1,26.7,238.9
21,製造業,化学,化学工業,化学工業,556,14.2,52.6,342.1
